Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,9811.75
Ethereum,https://coinmarketcap.com/currencies/ethereum/,244.89
Tether,https://coinmarketcap.com/currencies/tether/,1.00
XRP,https://coinmarketcap.com/currencies/xrp/,0.205034
Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,261.16
Bitcoin SV,https://coinmarketcap.com/currencies/bitcoin-sv/,198.49
Litecoin,https://coinmarketcap.com/currencies/litecoin/,47.82
Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,17.59
EOS,https://coinmarketcap.com/currencies/eos/,2.73
Cardano,https://coinmarketcap.com/currencies/cardano/,0.088467
Tezos,https://coinmarketcap.com/currencies/tezos/,3.00
Crypto.com Coin,https://coinmarketcap.com/currencies/crypto-com-coin/,0.099038
Stellar,https://coinmarketcap.com/currencies/stellar/,0.082459
Chainlink,https://coinmarketcap.com/currencies/chainlink/,4.47
UNUS SED LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,1.22
Monero,https://coinmarketcap.com/currencies/monero/,68.61
TRON,https://coinmarketcap.com/currencies/tron/,0.016967
Huobi Token,https://coinmarketcap.com/currencies/huobi-token/,4.11
Neo,https://coinmarketcap.com/currencies/neo/,12.21
HedgeTrade,https://coinmarketcap.com/currencies/hedgetrade/,2.91
Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,6.95
Dash,https://coinmarketcap.com/currencies/dash/,78.81
USD Coin,https://coinmarketcap.com/currencies/usd-coin/,0.999874
IOTA,https://coinmarketcap.com/currencies/iota/,0.250317
Cosmos,https://coinmarketcap.com/currencies/cosmos/,3.13
Zcash,https://coinmarketcap.com/currencies/zcash/,53.98
Maker,https://coinmarketcap.com/currencies/maker/,424.94
NEM,https://coinmarketcap.com/currencies/nem/,0.046506
Ontology,https://coinmarketcap.com/currencies/ontology/,0.600446
VeChain,https://coinmarketcap.com/currencies/vechain/,0.006850
Basic Attention Token,https://coinmarketcap.com/currencies/basic-attention-token/,0.242273
Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,0.002624
OKB,https://coinmarketcap.com/currencies/okb/,5.25
FTX Token,https://coinmarketcap.com/currencies/ftx-token/,3.00
THETA,https://coinmarketcap.com/currencies/theta/,0.295281
Paxos Standard,https://coinmarketcap.com/currencies/paxos-standard/,1.00
OMG Network,https://coinmarketcap.com/currencies/omg/,1.69
DigiByte,https://coinmarketcap.com/currencies/digibyte/,0.017941
Decred,https://coinmarketcap.com/currencies/decred/,18.75
0x,https://coinmarketcap.com/currencies/0x/,0.328290
Hedera Hashgraph,https://coinmarketcap.com/currencies/hedera-hashgraph/,0.044092
Algorand,https://coinmarketcap.com/currencies/algorand/,0.240041
ICON,https://coinmarketcap.com/currencies/icon/,0.334935
Qtum,https://coinmarketcap.com/currencies/qtum/,1.85
Zilliqa,https://coinmarketcap.com/currencies/zilliqa/,0.016931
Binance USD,https://coinmarketcap.com/currencies/binance-usd/,1.00
Synthetix Network Token,https://coinmarketcap.com/currencies/synthetix-network-token/,0.886349
Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,9.44
Enjin Coin,https://coinmarketcap.com/currencies/enjin-coin/,0.198509
Lisk,https://coinmarketcap.com/currencies/lisk/,1.27
Augur,https://coinmarketcap.com/currencies/augur/,14.31
TrueUSD,https://coinmarketcap.com/currencies/trueusd/,1.00
Multi-collateral DAI,https://coinmarketcap.com/currencies/multi-collateral-dai/,1.00
Kyber Network,https://coinmarketcap.com/currencies/kyber-network/,0.717089
Hyperion,https://coinmarketcap.com/currencies/hyperion/,0.406401
Ravencoin,https://coinmarketcap.com/currencies/ravencoin/,0.020166
MonaCoin,https://coinmarketcap.com/currencies/monacoin/,1.88
Nano,https://coinmarketcap.com/currencies/nano/,0.901038
HUSD,https://coinmarketcap.com/currencies/husd/,1.00
Siacoin,https://coinmarketcap.com/currencies/siacoin/,0.002791
Waves,https://coinmarketcap.com/currencies/waves/,1.13
Bitcoin Diamond,https://coinmarketcap.com/currencies/bitcoin-diamond/,0.598476
Holo,https://coinmarketcap.com/currencies/holo/,0.000649
ZB Token,https://coinmarketcap.com/currencies/zb-token/,0.231709
Status,https://coinmarketcap.com/currencies/status/,0.028787
Quant,https://coinmarketcap.com/currencies/quant/,7.91
Flexacoin,https://coinmarketcap.com/currencies/flexacoin/,0.003339
MCO,https://coinmarketcap.com/currencies/crypto-com/,5.42
Electroneum,https://coinmarketcap.com/currencies/electroneum/,0.008398
Komodo,https://coinmarketcap.com/currencies/komodo/,0.695403
DxChain Token,https://coinmarketcap.com/currencies/dxchain-token/,0.001668
WAX,https://coinmarketcap.com/currencies/wax/,0.070708
KuCoin Shares,https://coinmarketcap.com/currencies/kucoin-shares/,0.982808
Ren,https://coinmarketcap.com/currencies/ren/,0.090993
Bytom,https://coinmarketcap.com/currencies/bytom/,0.073197
Aave,https://coinmarketcap.com/currencies/aave/,0.060113
Hive,https://coinmarketcap.com/currencies/hive-blockchain/,0.261517
Energi,https://coinmarketcap.com/currencies/energi/,2.62
Loopring,https://coinmarketcap.com/currencies/loopring/,0.072797
Steem,https://coinmarketcap.com/currencies/steem/,0.207993
Nervos Network,https://coinmarketcap.com/currencies/nervos-network/,0.004281
Matic Network,https://coinmarketcap.com/currencies/matic-network/,0.021685
Verge,https://coinmarketcap.com/currencies/verge/,0.004428
Nexo,https://coinmarketcap.com/currencies/nexo/,0.127868
BitTorrent,https://coinmarketcap.com/currencies/bittorrent/,0.000323
Seele-N,https://coinmarketcap.com/currencies/seele/,0.098088
Divi,https://coinmarketcap.com/currencies/divi/,0.038558
Blockstack,https://coinmarketcap.com/currencies/blockstack/,0.148533
Numeraire,https://coinmarketcap.com/currencies/numeraire/,24.72
Terra,https://coinmarketcap.com/currencies/terra-luna/,0.222251
BitShares,https://coinmarketcap.com/currencies/bitshares/,0.023108
Unibright,https://coinmarketcap.com/currencies/unibright/,0.425843
Celsius,https://coinmarketcap.com/currencies/celsius/,0.259608
MaidSafeCoin,https://coinmarketcap.com/currencies/maidsafecoin/,0.133364
SOLVE,https://coinmarketcap.com/currencies/solve/,0.177243
HyperCash,https://coinmarketcap.com/currencies/hypercash/,1.36
IOST,https://coinmarketcap.com/currencies/iostoken/,0.004946
ABBC Coin,https://coinmarketcap.com/currencies/abbc-coin/,0.103903
Decentraland,https://coinmarketcap.com/currencies/decentraland/,0.042072
Horizen,https://coinmarketcap.com/currencies/horizen/,6.23
